Region,9 Items,7 Items
Afghanistan,0.23,0.15
Albania,-0.25,0.03
Algeria,0.47,0.63
Andorra,-1.08,-1.05
Angola,0.95,0.93
Anguilla,NA,-0.27
Antigua,NA,-0.27
Argentina,-0.12,0.03
Armenia,0.1,0.15
Aruba,NA,-0.28
Australia,-0.25,-0.14
Austria,-0.77,-0.65
Azerbaijan,0.33,0.29
Azores,NA,-0.73
Bahamas,NA,-0.51
Bahrain,0.1,0.15
Bangladesh,0.62,0.66
Barbados,NA,-0.15
Belarus,-0.75,-0.78
Belgium,-1,-0.78
Belize,NA,0.28
Benin,0.93,1.07
Bermuda,NA,-0.63
Bhutan,0.44,0.27
Bolivia,0.34,0.3
Bosnia and Herzegovina,0,0.03
Botswana,0.41,0.39
Brazil,0.93,1.06
Brunei,-0.01,0
Bulgaria,-0.35,-0.1
Burkina Faso,1.16,1.19
Burundi,1.06,1.07
Cambodia,0.45,0.28
Cameroon,1.17,1.2
Canada,-1.31,-1.18
Canary Islands,NA,-0.23
Cape Verde,NA,-0.26
Cayman Islands,NA,-0.65
Central African Republic,1.16,1.19
Chad,1.04,1.04
Chile,-0.45,-0.22
China (PRC),1.03,1.03
Christmas Island,NA,-1.04
Colombia,0.27,0.53
Comoros,NA,-0.25
"Congo, Democratic Republic",0.97,0.95
"Congo, Republic",1.16,1.19
Cook Islands,NA,-0.93
Costa Rica,0.12,0.18
Cote d‰ÛªIvoire,1.06,1.06
Croatia,-0.44,-0.38
Cuba,NA,0
Kazakhstan,NA,-0.38
Kenya,0.95,0.92
Kiribati,NA,-0.53
"Korea, North",0.12,-0.14
"Korea, South",-0.11,-0.28
Kuwait,-0.34,-0.25
Kyrgyzstan,NA,-0.38
Laos,0.45,0.28
Latvia,-0.62,-0.78
Lebanon,0.36,0.65
Lesotho,0.01,-0.13
Liberia,0.73,0.8
Libya,0.04,0.24
Liechtenstein,-1.08,-1.05
Lithuania,-0.75,-0.78
Luxembourg,-1.11,-0.91
Macau,0.1,-0.01
Macedonia,-0.25,0.03
Madagascar,0.63,0.51
Malawi,0.73,0.64
Malaysia,0.5,0.51
Maldives,NA,-0.9
Mali,1.04,1.04
Malta,-0.41,-0.5
Marshall Islands,NA,-0.25
Martinique,NA,0.24
Mauritania,0.31,0.26
Mauritius,NA,0.11
Mexico,0.28,0.56
Micronesia,NA,-0.11
Moldova,-0.31,-0.37
Monaco,-0.77,-0.65
Mongolia,NA,-0.78
Montserrat,NA,-0.02
Morocco,0.59,0.62
Mozambique,0.83,0.93
Myanmar (Burma),0.64,0.53
Namibia,-0.09,-0.25
Nauru,NA,-0.8
Nepal,0.14,-0.12
Netherlands,-0.87,-0.78
Netherlands Antilles,NA,-0.28
New Caledonia,NA,-0.53
New Zealand,-0.98,-0.91
Nicaragua,NA,0.16
Niger,0.51,0.52
Nigeria,1.16,1.19
Niue,NA,-0.93
Norfolk Island,NA,-1.04
Northern Ireland,-0.87,-0.78
Northern Mariana Islands,NA,-0.52
Norway,-0.85,-0.91
Trinidad,-0.03,-0.01
Tunisia,0.81,0.9
Turkey,0.16,0.4
Turkmenistan,0,0.02
Turks and Caicos Islands,NA,-0.39
Tuvalu,NA,-0.93
Uganda,1.05,1.05
Ukraine,-0.4,-0.64
United Arab Emirates,-0.45,-0.39
United States of America,-0.89,-0.64
Uruguay,0.39,0.53
Cyprus,-0.34,-0.25
Czech Republic,-0.87,-0.78
Denmark,-0.98,-0.91
Djibouti,0.49,0.5
Dominica,NA,-0.02
Dominican Republic,NA,-0.13
East Timor,0.24,0.01
Ecuador,0.34,0.3
Egypt,0.44,0.76
El Salvador,0.3,0.42
England,-1.01,-0.78
Equatorial Guinea,0.96,0.93
Eritrea,0.52,0.37
Estonia,-0.62,-0.78
Ethiopia,0.71,0.77
Falkland Islands,NA,-1.18
Fiji,-0.07,-0.39
Finland,-0.75,-0.78
France,-0.46,-0.4
French Guiana,NA,0.92
French Polynesia,NA,-0.67
Gabon,1.04,1.19
Gambia,0.94,0.92
Georgia,0.1,0.16
Germany,-0.87,-0.78
Ghana,1.16,1.19
Gibraltar,NA,-0.5
Greece,0.08,0.29
Greenland,NA,-1.18
Grenada,NA,-0.53
Guadeloupe,NA,-0.15
Guam,-0.17,-0.52
Guatemala,0.42,0.56
Guinea,1.06,1.06
Guinea-Bissau,1.06,1.06
Guyana,NA,0.64
Haiti,NA,-0.01
Hawaii,NA,-0.52
Honduras,NA,0.16
Hong Kong,0.27,0.37
Hungary,-1,-0.78
Iceland,-1.19,-1.18
India,0.94,0.91
Indonesia,0.63,0.51
Iran,-0.15,-0.16
Iraq,0.54,0.4
Ireland,-0.45,-0.23
Israel,0.52,0.53
Italy,0.16,0.4
Jamaica,0.18,0.25
Japan,0.43,0.25
Jordan,0.16,0.39
Oman,-0.14,0
Pakistan,0.02,-0.12
Palau,NA,-0.38
Panama,0.09,0.31
Papua New Guinea,NA,0.15
Paraguay,NA,0.17
Peru,0.23,0.16
Philippines,0.5,0.51
Pitcairn Islands,NA,-1.18
Poland,-0.87,-0.78
Portugal,0.47,0.63
Puerto Rico,0.07,0.12
Qatar,NA,-0.25
Reunion,NA,-0.25
Romania,-0.18,-0.37
Russia,-0.39,-0.64
Rwanda,1.05,1.05
Samoa,NA,-0.41
Samoa (U.S.),NA,-0.41
San Marino,-0.46,-0.25
Sao Tome and Principe,NA,-0.19
Saudi Arabia,0.04,0.24
Scotland,-1.31,-1.18
Senegal,0.72,0.78
Serbia,-0.23,-0.11
Seychelles,NA,-0.63
Sierra Leone,0.94,0.92
Singapore,0.31,0.26
Slovakia,-1,-0.78
Slovenia,-0.87,-0.78
Solomon Islands,NA,-0.12
Somalia,0.61,0.64
South Africa,0.11,0
Spain,-0.05,0.13
Sri Lanka,0.64,0.52
St. Helena,NA,-1.04
St. Kitts,NA,-0.15
St. Lucia,NA,-0.15
St. Vincent,NA,-0.28
Sudan,1,1.15
Surinam,0.63,0.67
Swaziland,0.08,0.13
Sweden,-0.98,-0.91
Switzerland,-1.08,-1.05
Syria,0.3,0.41
Taiwan,0.3,0.25
Tajikistan,NA,0.02
Tanzania,0.75,0.66
Thailand,0.64,0.52
Togo,1.16,1.19
Tokelau,NA,-0.93
Tonga,NA,-0.67
Uzbekistan,-0.44,-0.37
Vanuatu,NA,-0.13
Venezuela,0.48,0.8
Vietnam,0.61,0.64
Virgin Islands (U.K.),NA,-0.27
Virgin Islands (U.S.),NA,-0.15
Wake Island,NA,-1.04
Western Sahara,NA,-0.26
Yemen,0.41,0.23
Zambia,0.64,0.52
Zimbabwe,0.64,0.53